name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift
HPPSC070A_J160806.4+252909,blue,242.026795,25.485741,100.042,296.505,710.063,446.7,213.3,72.1,11.547,11.452,9.036,7.427,14.217,13.078,12.653,0.04163
HPPSC070A_J024617.5+130545,blue,41.572915,13.095732,8779.77,12666.946,13100.676,5772.4,,,9.984,9.46,5.031,3.095,13.417,12.359,11.594,0.021883
HPPSC070A_J013853.0-102712,blue,24.720846,-10.45336,7482.553,6964.468,3966.431,1422.6,516.2,157.3,12.639,11.761,7.723,4.018,15.128,14.246,13.556,0.048247
HPPSC070A_J125834.2+271926,blue,194.642599,27.323885,20.792,36.037,,,,,15.336,15.069,11.832,8.604,,,,0.17507
HPPSC070A_J181338.6-574358,blue,273.411214,-57.732692,2617.779,3145.951,,,,,11.266,10.858,5.964,2.297,13.409,12.696,12.271,0.016505
HPPSC070A_J074144.3+211057,blue,115.434845,21.18243,387.935,,494.451,,,,13.447,13.068,9.387,6.884,15.39,14.516,14.04,0.098696
HPPSC070A_J112723.4-291528,blue,171.847622,-29.257816,477.069,,,,,,10.92,10.581,6.498,3.858,13.699,12.859,12.366,0.02389
HPPSC070A_J043820.8+250309,blue,69.586856,25.052466,118.211,181.598,315.466,,,,13.492,13.299,10.16,7.855,15.701,14.795,14.081,-0.003075
HPPSC070A_J011844.5-001502,blue,19.685644,-0.250492,143.091,234.424,248.495,131,,,13.616,13.4,9.368,7.866,15.692,15.006,14.644,0.054238
HPPSC070A_J125928.2+270909,blue,194.867867,27.152495,37.212,76.286,119.598,,47.9,,14.81,14.309,10.506,8.604,17,16.156,15.372,0.20003
HPPSC070A_J133553.7-341745,blue,203.974109,-34.295823,1177.266,,734.218,244.2,95.6,,8.692,7.768,4.942,2.626,12.207,11.288,10.286,0.007749
HPPSC070A_J012737.8-323301,blue,21.90765,-32.550382,48.55,,116.633,,,,13.956,13.484,10.435,8.19,15.957,15.082,14.444,0.1832
HPPSC070A_J094808.3+130249,blue,147.034754,13.047076,54.137,84.968,109.616,,,,14.636,13.978,10.308,7.851,16.703,16.071,15.214,0.21619
HPPSC070A_J163815.4-211941,blue,249.564312,-21.328139,187.837,,821.86,428.5,248.9,,12.534,12.449,9.037,6.176,15.74,14.935,14.426,0.026508
